word,n,score_type
story,572,low
earth,388,low
game,348,low
named,344,low
people,328,low
group,320,low
like,316,low
around,312,low
three,304,low
called,296,low
man,292,low
power,292,low
become,2396,med
must,2264,med
student,2244,med
story,2240,med
earth,2232,med
years,2216,med
known,2164,med
also,2140,med
find,2060,med
named,2040,med
together,2016,med
just,1952,med
must,444,high
become,320,high
old,316,high
years,292,high
team,280,high
student,276,high
find,268,high
way,260,high
just,256,high
even,228,high
help,228,high
known,228,high
